id,row,column,ROW_1,COLUMN_1,id_2,AREA,U-PER,N-PER,WAT-PER,URB-NA
27,3,7,3,7,27,2500,0.1,0.9,0,0.1
28,3,8,3,8,28,2500,0.1,0.9,0,0.1
29,3,9,3,9,29,2500,0.3,0.7,0,0.3
30,3,10,3,10,30,2500,0.1,0.9,0,0.1
35,4,5,4,5,35,2500,0.6,0.4,0,0.6
36,4,6,4,6,36,2500,0.7,0.3,0,0.7
37,4,7,4,7,37,2500,0.8,0.2,0,0.8
38,4,8,4,8,38,2500,0.9,0.1,0,0.9
39,4,9,4,9,39,2500,0.9,0.1,0,0.9
44,5,4,5,4,44,2500,0.1,0.9,0,0.1
45,5,5,5,5,45,2500,0.9,0.1,0,0.9
46,5,6,5,6,46,2500,1,0,0,1
47,5,7,5,7,47,2500,1,0,0,1
48,5,8,5,8,48,2500,1,0,0,1
49,5,9,5,9,49,2500,0.7,0.3,0,0.7
54,6,4,6,4,54,2500,0.2,0.8,0,0.2
55,6,5,6,5,55,2500,0.9,0.1,0,0.9
56,6,6,6,6,56,2500,1,0,0,1
57,6,7,6,7,57,2500,1,0,0,1
58,6,8,6,8,58,2500,1,0,0,1
59,6,9,6,9,59,2500,0.6,0.2,0.2,0.6
64,7,4,7,4,64,2500,0.3,0.7,0,0.3
65,7,5,7,5,65,2500,0.8,0.2,0,0.8
66,7,6,7,6,66,2500,1,0,0,1
67,7,7,7,7,67,2500,1,0,0,1
68,7,8,7,8,68,2500,1,0,0,1
69,7,9,7,9,69,2500,0.6,0.2,0.2,0.6
75,8,5,8,5,75,2500,0.6,0.4,0,0.6
76,8,6,8,6,76,2500,0.5,0.5,0,0.5
77,8,7,8,7,77,2500,0.3,0.7,0,0.3
78,8,8,8,8,78,2500,0.3,0.7,0,0.3
79,8,9,8,9,79,2500,0.5,0.5,0,0.5
85,9,5,9,5,85,2500,0.2,0.8,0,0.2
89,9,9,9,9,89,2500,0.2,0.8,0,0.2
